UpX,UpY
0.000000,0.000000
0.001070,0.012890
0.004280,0.040130
0.009610,0.063020
0.017040,0.085890
0.026530,0.110130
0.038060,0.132600
0.051560,0.154560
0.066990,0.176660
0.084270,0.198480
0.948440,0.199160
0.961940,0.171770
0.973470,0.145150
0.982960,0.121650
0.990390,0.095680
0.995720,0.065110
0.998930,0.046750
1.000000,0.042370

LowX,LowY
0.000000,0.000000
0.001070,-0.010000
0.004280,-0.031590
0.009610,-0.050090
0.017040,-0.067480
0.026530,-0.086180
0.038060,-0.103930
0.051560,-0.122040
0.066990,-0.140430
0.084270,-0.158870
0.103320,-0.177310
0.124080,-0.195690
0.961940,-0.180230
0.973470,-0.148500
0.982960,-0.119160
0.990390,-0.089460
0.995720,-0.062960
0.998930,-0.047280
1.000000,-0.042390
